Age,Gender,Day_of_Week,Session_Type,Tattoo_Size,Tattoo_Style,Artist_Name
43,Male,Sunday,Pre-booked,Medium,Realism,Artist B
39,Male,Tuesday,Pre-booked,Small,Custom,Artist B
37,Male,Saturday,Pre-booked,Large,Custom,Artist C
22,Male,Thursday,Pre-booked,Sleeve/Back,Script,Artist D
58,Male,Thursday,Walk-in,Medium,Minimalist,Artist E
45,Male,Thursday,Walk-in,Sleeve/Back,Realism,Artist D
44,Female,Sunday,Walk-in,Small,Realism,Artist B
31,Female,Sunday,Pre-booked,Medium,Custom,Artist B
46,Male,Saturday,Walk-in,Sleeve/Back,Script,Artist B
35,Male,Tuesday,Walk-in,Large,Script,Artist B
56,Male,Wednesday,Walk-in,Medium,Minimalist,Artist D
43,Male,Monday,Walk-in,Sleeve/Back,Custom,Artist E
59,Male,Friday,Walk-in,Large,Realism,Artist E
53,Female,Tuesday,Pre-booked,Medium,Custom,Artist B
26,Male,Wednesday,Walk-in,Medium,Script,Artist B
23,Female,Wednesday,Pre-booked,Medium,Script,Artist B
59,Female,Thursday,Pre-booked,Sleeve/Back,Script,Artist E
28,Male,Wednesday,Pre-booked,Small,Script,Artist A
31,Female,Friday,Walk-in,Sleeve/Back,Custom,Artist D
21,Female,Friday,Walk-in,Sleeve/Back,Custom,Artist C
37,Female,Tuesday,Walk-in,Medium,Script,Artist D
21,Female,Thursday,Walk-in,Large,Script,Artist C
28,Female,Saturday,Walk-in,Small,Realism,Artist B
54,Male,Monday,Pre-booked,Large,Script,Artist C
42,Female,Wednesday,Walk-in,Medium,Realism,Artist E
59,Male,Wednesday,Pre-booked,Sleeve/Back,Minimalist,Artist A
25,Female,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist E
27,Male,Sunday,Pre-booked,Small,Realism,Artist D
37,Female,Wednesday,Pre-booked,Small,Script,Artist D
42,Female,Wednesday,Pre-booked,Medium,Minimalist,Artist E
29,Male,Friday,Walk-in,Medium,Realism,Artist E
48,Male,Saturday,Walk-in,Large,Custom,Artist C
31,Male,Friday,Walk-in,Sleeve/Back,Custom,Artist D
32,Male,Wednesday,Walk-in,Large,Realism,Artist E
54,Male,Thursday,Pre-booked,Medium,Script,Artist E
37,Male,Monday,Walk-in,Sleeve/Back,Script,Artist C
19,Male,Sunday,Pre-booked,Small,Script,Artist B
18,Male,Sunday,Walk-in,Large,Minimalist,Artist E
40,Female,Tuesday,Pre-booked,Small,Custom,Artist D
21,Female,Monday,Walk-in,Medium,Minimalist,Artist A
57,Female,Monday,Walk-in,Medium,Custom,Artist D
37,Female,Friday,Pre-booked,Sleeve/Back,Custom,Artist E
31,Female,Sunday,Pre-booked,Large,Realism,Artist C
19,Female,Saturday,Walk-in,Small,Realism,Artist B
42,Male,Tuesday,Pre-booked,Medium,Realism,Artist A
21,Female,Monday,Walk-in,Small,Script,Artist A
51,Male,Monday,Walk-in,Small,Custom,Artist C
52,Female,Wednesday,Pre-booked,Sleeve/Back,Minimalist,Artist C
46,Male,Friday,Pre-booked,Sleeve/Back,Custom,Artist A
56,Female,Sunday,Walk-in,Medium,Custom,Artist C
30,Female,Saturday,Pre-booked,Large,Script,Artist D
18,Male,Thursday,Pre-booked,Sleeve/Back,Custom,Artist E
24,Female,Saturday,Walk-in,Large,Custom,Artist D
55,Female,Monday,Pre-booked,Sleeve/Back,Custom,Artist E
43,Male,Friday,Pre-booked,Small,Script,Artist A
22,Female,Sunday,Pre-booked,Sleeve/Back,Script,Artist B
40,Female,Friday,Pre-booked,Small,Minimalist,Artist E
30,Male,Wednesday,Walk-in,Large,Custom,Artist E
58,Female,Sunday,Pre-booked,Large,Minimalist,Artist D
57,Male,Sunday,Walk-in,Medium,Realism,Artist A
33,Female,Wednesday,Walk-in,Large,Script,Artist E
42,Female,Tuesday,Pre-booked,Small,Custom,Artist A
23,Female,Thursday,Pre-booked,Sleeve/Back,Minimalist,Artist B
49,Male,Tuesday,Pre-booked,Large,Realism,Artist B
55,Male,Friday,Pre-booked,Medium,Realism,Artist E
29,Male,Wednesday,Pre-booked,Small,Script,Artist B
56,Male,Wednesday,Pre-booked,Medium,Script,Artist E
46,Female,Monday,Walk-in,Small,Minimalist,Artist E
32,Female,Tuesday,Pre-booked,Medium,Minimalist,Artist B
49,Female,Friday,Pre-booked,Small,Minimalist,Artist E
45,Female,Sunday,Walk-in,Large,Realism,Artist C
34,Male,Thursday,Pre-booked,Large,Script,Artist C
40,Female,Thursday,Walk-in,Large,Custom,Artist E
40,Male,Sunday,Pre-booked,Medium,Custom,Artist E
19,Male,Saturday,Walk-in,Large,Minimalist,Artist B
38,Female,Thursday,Walk-in,Medium,Script,Artist C
24,Male,Tuesday,Pre-booked,Large,Script,Artist A
50,Female,Sunday,Walk-in,Sleeve/Back,Script,Artist A
43,Male,Monday,Walk-in,Large,Custom,Artist A
29,Female,Sunday,Walk-in,Small,Minimalist,Artist D
44,Male,Saturday,Walk-in,Medium,Minimalist,Artist C
29,Female,Monday,Pre-booked,Sleeve/Back,Minimalist,Artist C
22,Female,Thursday,Pre-booked,Small,Custom,Artist D
28,Female,Wednesday,Pre-booked,Medium,Custom,Artist B
28,Male,Monday,Pre-booked,Medium,Custom,Artist E
54,Male,Wednesday,Pre-booked,Sleeve/Back,Custom,Artist A
39,Female,Sunday,Pre-booked,Large,Minimalist,Artist A
34,Female,Wednesday,Walk-in,Small,Custom,Artist A
57,Male,Thursday,Pre-booked,Small,Realism,Artist E
22,Male,Friday,Pre-booked,Medium,Script,Artist E
38,Male,Thursday,Pre-booked,Sleeve/Back,Custom,Artist E
26,Female,Sunday,Pre-booked,Sleeve/Back,Realism,Artist D
44,Male,Tuesday,Pre-booked,Small,Realism,Artist A
47,Male,Friday,Walk-in,Small,Script,Artist B
44,Male,Monday,Walk-in,Medium,Script,Artist B
29,Male,Saturday,Walk-in,Sleeve/Back,Script,Artist A
44,Male,Tuesday,Walk-in,Small,Minimalist,Artist A
27,Female,Friday,Pre-booked,Sleeve/Back,Minimalist,Artist E
45,Male,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist C
48,Female,Wednesday,Pre-booked,Small,Realism,Artist D
39,Male,Friday,Walk-in,Sleeve/Back,Script,Artist E
20,Female,Friday,Walk-in,Sleeve/Back,Custom,Artist E
21,Male,Sunday,Pre-booked,Small,Custom,Artist A
52,Female,Thursday,Walk-in,Large,Script,Artist B
40,Male,Sunday,Pre-booked,Sleeve/Back,Realism,Artist D
25,Female,Friday,Walk-in,Sleeve/Back,Custom,Artist A
23,Female,Friday,Pre-booked,Small,Minimalist,Artist A
28,Female,Tuesday,Walk-in,Large,Minimalist,Artist C
24,Female,Wednesday,Pre-booked,Sleeve/Back,Minimalist,Artist B
31,Female,Monday,Walk-in,Large,Custom,Artist B
39,Female,Friday,Walk-in,Large,Script,Artist D
27,Male,Saturday,Walk-in,Small,Realism,Artist A
53,Male,Wednesday,Walk-in,Medium,Script,Artist C
28,Female,Tuesday,Walk-in,Sleeve/Back,Script,Artist B
49,Male,Wednesday,Walk-in,Medium,Minimalist,Artist E
35,Female,Wednesday,Walk-in,Medium,Custom,Artist A
51,Female,Saturday,Walk-in,Small,Script,Artist B
53,Female,Sunday,Pre-booked,Medium,Realism,Artist D
22,Male,Wednesday,Pre-booked,Small,Realism,Artist A
40,Male,Friday,Walk-in,Sleeve/Back,Custom,Artist A
54,Female,Friday,Walk-in,Sleeve/Back,Script,Artist E
37,Female,Wednesday,Pre-booked,Medium,Realism,Artist D
43,Male,Friday,Walk-in,Sleeve/Back,Realism,Artist A
42,Male,Wednesday,Pre-booked,Sleeve/Back,Minimalist,Artist E
35,Female,Saturday,Walk-in,Large,Minimalist,Artist D
27,Female,Friday,Pre-booked,Medium,Realism,Artist A
41,Male,Thursday,Pre-booked,Large,Script,Artist C
30,Female,Saturday,Walk-in,Large,Minimalist,Artist C
21,Male,Friday,Pre-booked,Medium,Minimalist,Artist A
46,Female,Monday,Walk-in,Sleeve/Back,Script,Artist A
33,Male,Monday,Walk-in,Small,Script,Artist B
47,Female,Wednesday,Walk-in,Small,Custom,Artist A
54,Male,Thursday,Pre-booked,Large,Realism,Artist A
55,Female,Wednesday,Pre-booked,Medium,Script,Artist C
22,Female,Wednesday,Walk-in,Large,Minimalist,Artist A
32,Female,Tuesday,Pre-booked,Small,Script,Artist C
50,Male,Tuesday,Pre-booked,Sleeve/Back,Minimalist,Artist B
45,Female,Monday,Walk-in,Small,Custom,Artist D
55,Female,Thursday,Pre-booked,Large,Custom,Artist E
34,Male,Monday,Walk-in,Medium,Minimalist,Artist C
30,Female,Friday,Pre-booked,Medium,Minimalist,Artist D
43,Male,Saturday,Walk-in,Large,Script,Artist B
24,Male,Saturday,Pre-booked,Small,Custom,Artist D
33,Male,Saturday,Walk-in,Small,Custom,Artist A
27,Female,Wednesday,Pre-booked,Small,Minimalist,Artist B
25,Female,Monday,Walk-in,Large,Realism,Artist D
36,Female,Sunday,Walk-in,Small,Realism,Artist A
58,Male,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist C
54,Male,Thursday,Pre-booked,Sleeve/Back,Minimalist,Artist B
47,Male,Wednesday,Walk-in,Medium,Minimalist,Artist C
30,Female,Monday,Pre-booked,Medium,Custom,Artist E
23,Male,Friday,Walk-in,Sleeve/Back,Custom,Artist E
40,Male,Sunday,Pre-booked,Medium,Realism,Artist B
33,Female,Saturday,Pre-booked,Medium,Minimalist,Artist A
30,Male,Friday,Pre-booked,Sleeve/Back,Custom,Artist B
40,Female,Thursday,Pre-booked,Large,Realism,Artist C
18,Female,Wednesday,Pre-booked,Medium,Script,Artist D
36,Female,Tuesday,Walk-in,Sleeve/Back,Script,Artist B
47,Male,Tuesday,Walk-in,Sleeve/Back,Realism,Artist B
58,Female,Monday,Walk-in,Sleeve/Back,Script,Artist C
52,Male,Tuesday,Walk-in,Small,Realism,Artist C
18,Female,Sunday,Walk-in,Sleeve/Back,Script,Artist B
39,Female,Thursday,Pre-booked,Sleeve/Back,Realism,Artist D
22,Female,Tuesday,Pre-booked,Medium,Custom,Artist B
26,Male,Sunday,Pre-booked,Large,Script,Artist C
32,Female,Wednesday,Walk-in,Large,Minimalist,Artist D
48,Female,Monday,Pre-booked,Large,Minimalist,Artist A
26,Male,Monday,Pre-booked,Sleeve/Back,Custom,Artist E
46,Male,Friday,Pre-booked,Medium,Realism,Artist E
31,Female,Monday,Pre-booked,Sleeve/Back,Custom,Artist C
47,Male,Saturday,Pre-booked,Sleeve/Back,Realism,Artist D
53,Male,Tuesday,Walk-in,Sleeve/Back,Minimalist,Artist C
52,Female,Tuesday,Pre-booked,Small,Custom,Artist B
58,Female,Wednesday,Pre-booked,Sleeve/Back,Realism,Artist E
27,Female,Friday,Walk-in,Sleeve/Back,Realism,Artist E
48,Female,Thursday,Pre-booked,Large,Realism,Artist A
27,Female,Friday,Walk-in,Small,Custom,Artist E
21,Female,Sunday,Pre-booked,Medium,Script,Artist B
27,Female,Tuesday,Walk-in,Small,Custom,Artist D
41,Male,Wednesday,Pre-booked,Sleeve/Back,Script,Artist B
18,Female,Thursday,Walk-in,Small,Custom,Artist C
56,Male,Tuesday,Pre-booked,Small,Minimalist,Artist E
39,Male,Sunday,Pre-booked,Small,Custom,Artist C
33,Male,Saturday,Pre-booked,Medium,Realism,Artist E
56,Male,Sunday,Walk-in,Small,Script,Artist A
26,Female,Saturday,Pre-booked,Small,Script,Artist D
30,Female,Tuesday,Walk-in,Sleeve/Back,Custom,Artist C
41,Female,Tuesday,Walk-in,Small,Minimalist,Artist D
23,Male,Sunday,Pre-booked,Large,Realism,Artist E
24,Female,Sunday,Pre-booked,Medium,Script,Artist E
47,Male,Friday,Pre-booked,Medium,Minimalist,Artist C
39,Female,Sunday,Walk-in,Sleeve/Back,Realism,Artist A
